country,locality,yearCollected,eventID,principalInvestigator,samplingProtocol,sampleCollectionDeviceEvent,collectorList,continentOcean,municipality,county,dayCollected,locationID,locationRemarks,decimalLatitude,decimalLongitude,decimalLatitudeEnd,decimalLongitudeEnd,depthOfBottomInMeters,eventEnteredBy,habitat,environmentalMedium,horizontalDatum,island,islandGroup,waterBody,landowner,verbatimLocality,maximumDepthInMeters,maximumElevationInMeters,verbatimElevation,verbatimEventDate,coordinateUncertaintyInMeters,coordinatePrecision,georeferenceProtocol,microHabitat,minimumDepthInMeters,verbatimDepth,minimumElevationInMeters,monthCollected,permitInformation,eventRemarks,stateProvince,taxTeam,timeOfDay,verbatimLatitude,verbatimLongitude,fundingSource,fieldNotes,substratum,earliestEonOrLowestEonothem,latestEonOrHighestEonotheme,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,geologicalContextID,latestChronometricAge,latestChronometricAgeReferenceSystem,earliestChronometricAge,earliestChronometricAgeReferenceSystem,chronometricAgeID,chronometricAgeProtocol,chronometricAgeUncertaintyMethod,chronometricAgeUncertaintyInYears,verbatimChronometricAge,materialDated,uncalibratedChronometricAge,chronometricAgeDeterminedBy,lithostratigraphicTerms,group,formation,member,bed,culturalContext,culturalOccupationPeriod,culturalRegions,culturalAffiliations,waterTemperatureInDegreesCelsius,waterSurfaceTemperatureInDegreesCelsius,bcid,expeditionCode,projectId
Australia,Ningaloo Marine Park,2009,d45e2c997015356d96b513edb1b6a7ec,Cynthia Riginos,tissue,,Treml/Riginos,,,,11,,,-23.03908333,113.8202,,,,,,,,,,,,,5,,,,,,GPS,,5,,,6,SF006619/CE002227; WA-DEC,group photo,Western Australia,,,,,ARC_DP0878306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BFH2d45e2c997015356d96b513edb1b6a7ec,apodoe_CR_cr,1
Indonesia,Malalayan,2010,d47e96411928ab3d374654106af238b8,Kazuo Nadaoka,tube feet wre taken with tweezers,,Coralie Taquet,,,,,,,1.70405,124.8548889,,,,,Coral Reef,,,,,,,,,,,,5000,,Google Maps,,,,,2,AllPermitInfoAvailable in working files Coralie TAQUET-folderInNadaokaLab,,,,,,,"the Global Environment Research Fund (D-0802) of the Ministry of the Environment, Grant-in-Aid-for Research Fellows (No. 2002520) of JSPS (The Japan Society for the Promotion of Science)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BJN2d47e96411928ab3d374654106af238b8,culnov_CO1_ec,1
Indonesia,"Barrang Lompo Fish Market, Makassar, Sulawesi",2006,d483f57238271b96b0a9b70de7bb3e23,P. H. Barber,,,,,,,23,,,-5.11108,119.388221,,,,,,,,,,,,,,,,,20000,,approximated from Google Maps,,,,,,"1187/SU/KS/2006, 04239/ SU.3/KS/2103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/EAZ2d483f57238271b96b0a9b70de7bb3e23,ctPIRE-Ccun-mtDNA,453
Indonesia,Murex Resort 2,2005,d4a880df3043a43345814aa2ef795fd2,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,8,,,1.735866694,125.14915,,,,,,,,Bangka,,,,,20,,,,500,,GPS,,0,,,4,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd2d4a880df3043a43345814aa2ef795fd2,linlae_COI_EC,1
Indonesia,Namatote (Namatota),2006,d4c15abb00428275d4e2d5441a4e74d3,Paul Barber,,,,,,,,,,-3.791255,133.895107,,,,,,,,Pulau Namatota,,,,,,,,,15000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2059,,West Papua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BNg2d4c15abb00428275d4e2d5441a4e74d3,Hopsai_COI_PB,1
Indonesia,Tanjung Jerewai,2005,d4f734068728b14ecdaac744966145e0,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,30,,,1.520216667,128.7004,,,,,,,,Halmahera,,,,,20,,,,500,,GPS,,0,,,5,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0339005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd2d4f734068728b14ecdaac744966145e0,linlae_COI_EC,1
Indonesia,Bontang,2010,d5132afc777c5e111aff7c720f243708,Kazuo Nadaoka,tube feet wre taken with tweezers,,Coralie Taquet,,,,,,,0.124080556,117.5320778,,,,,Coral Reef,,,Borneo,,,,,,,,,5000,,Google Maps,,,,,2,AllPermitInfoAvailable in working files Coralie TAQUET-folderInNadaokaLab,,,,,,,"the Global Environment Research Fund (D-0802) of the Ministry of the Environment, Grant-in-Aid-for Research Fellows (No. 2002489) of JSPS (The Japan Society for the Promotion of Science)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BJN2d5132afc777c5e111aff7c720f243708,culnov_CO1_ec,1
Philippines,Santa Ana,2015,d51cd2ffb92c84b4f9c542b54762a17f,Kent Carpenter,,,,,,,,,,18.53085,122.09347,,,,,,,,,,,,,,,,,10000,,Approximated from identification of collection site on Google Maps/ArcGIS,,,,,4,BFAR commodity clearance no.2014-22517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BdZ2d51cd2ffb92c84b4f9c542b54762a17f,CC-RAD,40
USA,Necker Island,2009,d5292a2812d2bbe19bee796b25145ecb,Matthew Iacchei,small piece of antenna or leg is broken off,,"""Chris Bird,  Matt Ramsey, Hi'ilei Kawelo, Gabby Kawelo, Nakoa Goo""",,,,19,,,23.57319333,-164.701256,,,,,coral reef,,,Necker Island,Hawaiian Archipelago,,,,15,,,,,,GPS,,1,,,9,PMNM-2009-032L,,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BRv2d5292a2812d2bbe19bee796b25145ecb,Panpen_COI_MI,1
Indonesia,Pantai Base G,2005,d544df439748b013501ff33022a3b034,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,11,,,-2.514666656,140.7388333,,,,,,,,Papua,,,,,20,,,,500,,GPS,,0,,,4,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd2d544df439748b013501ff33022a3b034,linlae_COI_EC,1
,Manado - Murex House Reef,Unknown,d57f02f5202479e1fd4e535f8e5e0c23,Paul Barber,,,,,,,,,,1.4572,124.76225,,,,,Coral Reef,,,,,,,,20,,,,,,,,0,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BEv2d57f02f5202479e1fd4e535f8e5e0c23,ampper_CR_PB,1
Indonesia,West tip of Serui,2005,d594180725d0d1e753b054ed02927c2b,Paul Barber,,,,,,,,,,-1.904197,136.223221,,,,,,,,Yapen,,,,,,,,,2000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2198,,West Papua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BMj2d594180725d0d1e753b054ed02927c2b,hapham_COI_PB,1
Indonesia,"Jefman Island, Raja Ampat",Unknown,d5949b99226ce7758d8e78d0c8042e05,Paul Barber,,,,,,,,,,-0.92735,131.1234667,,,,,Coral Reef,,,,,,,,20,,,,500,,GPS,,0,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BJB2d5949b99226ce7758d8e78d0c8042e05,ctestr_CR_PB,1
Indonesia,"Jefman Island, Raja Ampat",Unknown,d5949b99226ce7758d8e78d0c8042e05,Paul Barber,,,,,,,,,,-0.92735,131.1234667,,,,,Coral Reef,,,,,,,,20,,,,500,,GPS,,0,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BNU2d5949b99226ce7758d8e78d0c8042e05,holedu_CO1_PB,1
Indonesia,"Jefman Island, Raja Ampat",Unknown,d5949b99226ce7758d8e78d0c8042e05,Paul Barber,,,,,,,,,,-0.92735,131.1234667,,,,,Coral Reef,,,,,,,,20,,,,500,,GPS,,0,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BVv2d5949b99226ce7758d8e78d0c8042e05,thoamb_CO1_PB,1
Indonesia,J. Pele Island,2003,d5b2e8fb66bf7bc26377adc4c48a6eb6,Paul Barber,,,,,,,,,,-1.225896,129.752309,,,,,,,,Kofiau,,,,,,,,,30000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2175,,West Papua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BVE2d5b2e8fb66bf7bc26377adc4c48a6eb6,Sialae_COI_PB,1
Indonesia,Wayag,2006,d5bf6cb1642467efce68939b8fbd6aba,Paul Barber,,,,,,,,,,0.164229,130.037189,,,,,,,,Pulau Wayag (Wajag),,,,,,,,,6000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2099,,West Papua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BNg2d5bf6cb1642467efce68939b8fbd6aba,Hopsai_COI_PB,1
USA,Eastern Tropical Pacific,1993,d5d94b702c3bd15742a647feb244a065,Kimberly Andrews,,,,,,,,,,11.7,-128.85,,,,,,,,,,,,,,,,,,,GPS,,,,,,"""NMFS permits, state permits, & CITES permits""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BVj2d5d94b702c3bd15742a647feb244a065,stelon_CR_ka,1
USA,Eastern Tropical Pacific,1993,d5d94b702c3bd15742a647feb244a065,Kimberly Andrews,,,,,,,,,,11.7,-128.85,,,,,,,,,,,,,,,,,,,GPS,,,,,,"""NMFS permits, state permits, & CITES permits""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BVp2d5d94b702c3bd15742a647feb244a065,stelon_CyB_ka,1
USA,WFGB,2013,d5f240ffa61ca2675a73b980545488e4,James Derek Hogan,,,,,,,1,,,27.52,-93.38,,,,,,,,,,,,,,,,,,,GPS,,,,,7,FGBNMS-2014-037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BYD2d5f240ffa61ca2675a73b980545488e4,P_volitans_GulfofMexico_mtDNA,1
Philippines,Anilao,2010,d6063c79b04a0de557d0bb45635bc702,Kazuo Nadaoka,tube feet wre taken with tweezers,,Coralie Taquet,,,,,,,13.74742222,120.8906556,,,,,Coral Reef,,,Verde Island,Verde Island Passage,,,,,,,,5000,,Google Maps,,,,,12,AllPermitInfoAvailable in working files Coralie TAQUET-folderInNadaokaLab,,,,,,,"the Global Environment Research Fund (D-0802) of the Ministry of the Environment, Grant-in-Aid-for Research Fellows (No. 2002462) of JSPS (The Japan Society for the Promotion of Science)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BJN2d6063c79b04a0de557d0bb45635bc702,culnov_CO1_ec,1
Indonesia,Hoga,1995,d6273b98d4b34fb0e9ab66afeb5f393f,Paul Barber,,,,,,,,,,-5.465936,123.770218,,,,,,,,Pulau Hoga,,,,,,,,,2000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2085,,South East Sulawesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BMj2d6273b98d4b34fb0e9ab66afeb5f393f,hapham_COI_PB,1
Indonesia,Sebesi,2005,d63f29598ba4f24d4115db7ef732ead0,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,26,,,-5.930033331,105.51545,,,,,,,,Sebesi,Krakatau,,,,20,,,,500,,GPS,,0,,,3,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd2d63f29598ba4f24d4115db7ef732ead0,linlae_COI_EC,1
Indonesia,"Barrang Lompo Fish Market, Makassar, Sulawesi",2006,d641a56049bca915b01648fa4d2c3d96,P. H. Barber,,,,,,,23,,,-5.11108,119.388221,,,,,,,,,,,,,,,,,20000,,approximated from Google Maps,,,,,,"1187/SU/KS/2006, 04239/ SU.3/KS/2109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/EAZ2d641a56049bca915b01648fa4d2c3d96,ctPIRE-Ccun-mtDNA,453
Australia,Timor Sea,1984,d64995c3bc2afeea632e56db36bee793,Kimberly Andrews,,,,,,,,,,-12.36666667,127.45,,,,,,,,,,,,,,,,,,,GPS,,,,,,"""NMFS permits, state permits, & CITES permits""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BVj2d64995c3bc2afeea632e56db36bee793,stelon_CR_ka,1
Australia,Timor Sea,1984,d64995c3bc2afeea632e56db36bee793,Kimberly Andrews,,,,,,,,,,-12.36666667,127.45,,,,,,,,,,,,,,,,,,,GPS,,,,,,"""NMFS permits, state permits, & CITES permits""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BVp2d64995c3bc2afeea632e56db36bee793,stelon_CyB_ka,1
Indonesia,Station 9,1999,d679f4c854658821605e9fdf419166e2,Paul Barber,,,,,,,,,,-0.342511,122.003996,,,,,,,,Togian Islands,,,,,,,,,100000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2071,,Central Sulawesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BMj2d679f4c854658821605e9fdf419166e2,hapham_COI_PB,1
Papua New Guinea,Bootless Bay,2011,d68cfcfa0a9dd09d61c45f8b061e6dd5,Cynthia Riginos,muscle,,Keyse,,,,17,,,-9.53,147.2951167,,,,,,,,,,,,,4,,,,,,"""Google Earth, not 100% sure of reef patch location""",,4,,,11,research visa no. 10350008304; Dept Env & Conservation/Nat Research Institute,,Central Province,,,,,ARC_DP0878306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BLg2d68cfcfa0a9dd09d61c45f8b061e6dd5,halhor_CR_ll,1
Australia,Ashmore Reef,2009,d6b9c2b8277ce0350faa1bc96389fb0e,Cynthia Riginos,tissue,,Liggins,,,,12,,,-12.30718333,122.9852167,,,,,,,,,,,,,4,,,,,,GPS,,4,,,5,"""AU-COM2010120; Department of Environment, Water, Heritage and Arts""","""photo, whole fish kept""",Western Australia,,,,,ARC_DP0878306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BTK2d6b9c2b8277ce0350faa1bc96389fb0e,pomcoe_CR_ll,1
Indonesia,Mayu Island,2005,d6c531f2f1ecc931b9def6a9198892f1,Paul Barber,,,,,,,,,,1.326828,126.385822,,,,,,,,Pulau Mayu (Maju),,,,,,,,,5000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2022,,North Maluku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BNg2d6c531f2f1ecc931b9def6a9198892f1,Hopsai_COI_PB,1
Indonesia,Purup,2006,d6fa9ee2c4eae4fcde73ffb2b67e1c4f,Paul Barber,,,,,,,,,,-2.030854,134.15062,,,,,,,,Pulau Purup (Purupi),,,,,,,,,5000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2134,,West Papua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BNg2d6fa9ee2c4eae4fcde73ffb2b67e1c4f,Hopsai_COI_PB,1
Indonesia,Mayu Island,2005,d7156eb32e47a9f87c9cf172f7156573,Paul Barber,,,,,,,,,,1.326828,126.385822,,,,,,,,Pulau Mayu (Maju),,,,,,,,,5000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2084,,North Maluku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BVE2d7156eb32e47a9f87c9cf172f7156573,Sialae_COI_PB,1
Oman,Mirbat,2013,d72c629bc7a20904b311fcbf14a1abfa,Michael Berumen,,,,,,,,,,16.95925,54.75725,,,,,,,,,,,,,,,,,,,GPS,,,,,,MinistryofAgricultureandFisheriesOman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BHa2d72c629bc7a20904b311fcbf14a1abfa,chaleu_CO1_JD,1
Oman,Mirbat,2013,d72c629bc7a20904b311fcbf14a1abfa,Michael Berumen,,,,,,,,,,16.95925,54.75725,,,,,,,,,,,,,,,,,,,GPS,,,,,,MinistryofAgricultureandFisheriesOman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BHm2d72c629bc7a20904b311fcbf14a1abfa,chamel_CO1_JD,1
Indonesia,Rakata Kecil,Unknown,d72f94bae922e0ae5c6d1b3c1f4feda8,Paul Barber,"""Obstruct operculum from closing, place in 95% EtOH""",,Eric Crandall,,,,,,,-6.097616667,105.4511167,,,,,Intertidal,,,Rakata Kecil,Krakatau,,,,1,4,,,500,,GPS,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2098,,,,,,,DEB-0508788; DEB-0338566; OCE 0349177; IBN-0416713; OCE-06_23699; Lerner-Grey Fund; Conchologists of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BRd2d72f94bae922e0ae5c6d1b3c1f4feda8,nerpli_CO1_EC,1
Indonesia,Sangihe-Siau Island,2005,d72ff1086fa9538aac27ee15abca2eea,Paul Barber,small clip of mantle taken with scissors,,,,,,24,,,2.754216667,125.3644667,,,,,Coral Reef,,,,,,,,,,,,500,,GPS,,,,,7,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BXE2d72ff1086fa9538aac27ee15abca2eea,trispp_COI_all,1
USA,STET,2013,d739163bec541bb1ca2e0e303b04db92,James Derek Hogan,,,,,,,11,,,27.54,-94.17,,,,,,,,,,,,,,,,,,,GPS,,,,,7,FGBNMS-2014-024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BYD2d739163bec541bb1ca2e0e303b04db92,P_volitans_GulfofMexico_mtDNA,1
Indonesia,"Ternate Fish Market, Halmahera",2005,d7493453435a8d9a403e93a09f4ec67b,P. H. Barber,,,,,,,26,,,0.774489,127.405156,,,,,,,,,,,,,,,,,20000,,approximated from Google Maps,,,,,,"1187/SU/KS/2006, 04239/ SU.3/KS/2102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/EAZ2d7493453435a8d9a403e93a09f4ec67b,ctPIRE-Ccun-mtDNA,453
Indonesia,"""Barrang Lompo, Makassar""",2006,d75e31cb82b3550b089927b1358e341b,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,20,,,-5.045,119.321111,,,,,Seagrass,,,,,,,,20,,,,500,,GPS,,0,,,7,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BTX2d75e31cb82b3550b089927b1358e341b,pronod_COI_EC,1
Indonesia,"Fak Fak Fish Market, Fak Fak, Papua",2006,d774568efc054d05ec95bb53cfe746a6,P. H. Barber,,,,,,,19,,,-2.95035,132.270998,,,,,,,,,,,,,,,,,20000,,approximated from Google Maps,,,,,,"1187/SU/KS/2006, 04239/ SU.3/KS/2079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/EAZ2d774568efc054d05ec95bb53cfe746a6,ctPIRE-Ccun-mtDNA,453
Solomon Islands,Tombatuni island,2010,d7a2ede0fff77d5aacd3cdc657b044e2,Cynthia Riginos,tissue,,Liggins/Keyse,,,,10,,,-8.33745,157.3755833,,,,,,,,,,,,,1,,,,,,Handheld GPS,,1,,,12,The Research Act 1982 (No. 9 of 1982) Research Permit; Solomon Islands Minister for Education and Human Resources Development,no photo,Roviana Lagoon,,,,,"""ARC_DP0878306, The Explorers Club Exploration Fund to Liggins""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPK2d7a2ede0fff77d5aacd3cdc657b044e2,linlae_CO1_CR,1
Indonesia,"""Waaf Misool, Raja Ampat""",2005,d7da75ef0f693bc8efcab964349a80c4,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,22,,,-2.125375,130.1307583,,,,,Seagrass,,,,,,,,20,,,,10000,,Google Earth,,0,,,11,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BTX2d7da75ef0f693bc8efcab964349a80c4,pronod_COI_EC,1
Indonesia,"""Alam Kotok, Pulau Seribu""",2005,d7de9b85c434782b762cdc8aa8d4f119,Paul Barber,,,Benita Chick,,,,,,,-5.69965,106.5381167,,,,,Seagrass,,,,,,,,20,,,,500,,GPS,,0,,,,"""LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006""",,,,,,,NSF DEB-0338566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BNH2d7de9b85c434782b762cdc8aa8d4f119,holatr_CO1_bc,1
Palau,Palau,2008,d7e280e2a36a15b20a188571c30fd562,Luiz Rocha,,,,,,,,,,7.343139,134.454091,,,,,marine coral reef biome,,,Palau,,,,,,,,,,,Google Earth,,,,,8,Bowen permit archive,,NA,,,,,"National Science Foundation OIA0554657, OCE-0453167, and OCE-0623751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BYH2d7e280e2a36a15b20a188571c30fd562,Acanthurus_olivaceus_MGaither,1
Palau,Palau,2008,d7e280e2a36a15b20a188571c30fd562,Luiz Rocha,,,,,,,,,,7.343139,134.454091,,,,,marine coral reef biome,,,Palau,,,,,,,,,,,Google Earth,,,,,8,Bowen permit archive,,NA,,,,,"National Science Foundation OIA0554657, OCE-0453167, and OCE-0623751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BYL2d7e280e2a36a15b20a188571c30fd562,Acanthurus_olivaceus_Michelle_Gaither,1
Indonesia,Rakata Kecil,Unknown,d7ec70c3ba3ed733ea486746f0cd8e85,Paul Barber,"""Obstruct operculum from closing, place in 95% EtOH""",,Eric Crandall,,,,,,,-6.097616667,105.4511167,,,,,Intertidal,,,Rakata Kecil,Krakatau,,,,1,4,,,500,,GPS,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2097,,,,,,,DEB-0508788; DEB-0338566; OCE 0349177; IBN-0416713; OCE-06_23699; Lerner-Grey Fund; Conchologists of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BRd2d7ec70c3ba3ed733ea486746f0cd8e85,nerpli_CO1_EC,1
South Africa,Kleinemonde,Unknown,d7f60dc2f9eaa04eeacd735d5cd8e63d,Monica Mwale,,,,,,,,,,-33.53333,27.033333,,,,,Estuary,,,,,,,,,,,,,,GPS reading,,,,,,DAFF/DEA,,,,,,,National Research Foundation: SABI grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BKv2d7f60dc2f9eaa04eeacd735d5cd8e63d,glocal_CyB_mm,1
USA,Hawaii -- French Frigate Shoals,2005,d830250ca0e7d7f405ee49a392dcdca4,Kimberly Andrews,,,,,,,,,,23.7502778,-166.1666667,,,,,,,,French Frigate Shoals,,,,,,,,,,,GPS,,,,,,"""NMFS permits, state permits, & CITES permits""",,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BVj2d830250ca0e7d7f405ee49a392dcdca4,stelon_CR_ka,1
USA,Hawaii -- French Frigate Shoals,2005,d830250ca0e7d7f405ee49a392dcdca4,Kimberly Andrews,,,,,,,,,,23.7502778,-166.1666667,,,,,,,,French Frigate Shoals,,,,,,,,,,,GPS,,,,,,"""NMFS permits, state permits, & CITES permits""",,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BVp2d830250ca0e7d7f405ee49a392dcdca4,stelon_CyB_ka,1
Indonesia,Sebuku2,2005,d83a46c37b0b256563da3515b1bba0ab,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,27,,,-5.891516661,105.5022167,,,,,,,,Krakatau,Krakatau,,,,20,,,,500,,GPS,,0,,,3,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd2d83a46c37b0b256563da3515b1bba0ab,linlae_COI_EC,1
